choicesName,value,label::fr,label::en,label_one::fr,label_one::en,spreadChoicesName,conditional,hidden
bikesharingMembership,yes,"Oui (mensuel, saison)","Yes (monthly, seasonal)",,,,,
bikesharingMembership,no,Non (paiement au déplacement),No (pay per trip),,,,,
bikesharingMembership,,,,,,dontKnow,,
disabilities,hearing,Auditive ,Hearing,,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,visual,Visuelle,Visual,,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,cognitiveOrPsychic,"Cognitive (ex. mémoire, attention, compréhension, défi d’apprentissage, etc.)","Cognitive (e.g. memory, attention, comprehension, learning difficulty, etc.)",,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,mentalHealth,"Santé mentale (ex. anxiété, dépression, trouble psychique, etc.)","Mental health (e.g. anxiety, depression, mental health disorder, etc.)",,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,intellectualOrTSA,Intellectuelle ou trouble du spectre de l’autisme (TSA) ,Intellectual disability or autism spectrum disorder (ASD),,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,motor,"Motrice (ex. mobilité réduite, flexibilité, paralysie, amputation, etc.)","Motor (e.g. reduced mobility, flexibility, paralysis, amputation, etc.)",,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,chronicIllness,"Limitation liée à une maladie chronique ou à l’état de santé (ex. cardiaque, respiratoire, douleur, etc.)","Limitation related to a chronic illness or health condition (e.g. cardiac, respiratory, pain, etc.)",,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,speechOrLanguageDisorder,Trouble de la parole ou du langage,Speech or language disorder,,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,fineMotorSkills,"Motricité fine (ex. dextérité, agilité, etc.)","Fine motor skills (e.g. dexterity, agility, etc.)",,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,other,Autre (spécifiez),Other (specify),,,,personDisabilityIsNotPreferNotToAnswer,
disabilities,,,,,,preferNotToAnswer,,
mobilityAssistiveDevices,crutchOrCane,Béquilles ou Canne,Crutches or cane,,,,personMobilityDeviceNotExclusiveAnswer,
mobilityAssistiveDevices,whiteCane,Canne blanche,White cane,,,,personMobilityDeviceNotExclusiveAnswer,
mobilityAssistiveDevices,serviceOrGuideDog,Chien d'assistance ou chien guide,Assistance dog or guide dog,,,,personMobilityDeviceNotExclusiveAnswer,
mobilityAssistiveDevices,manualWheelchair,Fauteuil roulant manuel (avec ou sans assistance électrique),Manual wheelchair (with or without electric assistance),,,,personMobilityDeviceNotExclusiveAnswer,
mobilityAssistiveDevices,motorisedWheelchair,Fauteuil roulant motorisé,Powered wheelchair,,,,personMobilityDeviceNotExclusiveAnswer,
mobilityAssistiveDevices,walkerOrRollator,Marchette ou déambulateur,Walker or rollator,,,,personMobilityDeviceNotExclusiveAnswer,
